scholarship_name,provider,description,url,contact_email,application_fee,amount,label
National Scholarship Portal 2025,Ministry of Education Government of India,The National Scholarship Portal NSP is a one-stop solution for end-to-end scholarship process starting from student application application receipt processing sanction and disbursal of scholarships. Eligible students from SC ST OBC and minority communities can apply. No application fee required. Based on merit and income criteria. Official government scheme.,https://scholarships.gov.in,helpdesk@nsp.gov.in,None,10000 to 50000 per year,REAL
AICTE Pragati Scholarship for Girls,AICTE All India Council for Technical Education,Pragati Scholarship scheme for girl students pursuing technical education. Provides financial support to encourage girl students to take up technical education. Open to first year students in AICTE approved institutions. Selection based on merit and family income. No registration fee whatsoever.,https://aicte-pragati-saksham-gov.in,chairman@aicte.gov.in,Free,50000 per year,REAL
Prime Ministers Scholarship Scheme,Kendriya Sainik Board Ministry of Defence,Financial assistance to widows and wards of ex-servicemen and ex-coast guard personnel for pursuing professional degree courses. Application through KSB portal. Required documents service certificate income certificate academic records. No intermediaries involved.,https://ksb.gov.in,scholarship@ksb.gov.in,No fee,2500 per month,REAL
INSPIRE Scholarship for Higher Education,Department of Science and Technology GoI,INSPIRE Innovation in Science Pursuit for Inspired Research scholarship supports students pursuing natural and basic sciences at BSc and MSc level. Scholarship disbursed directly to bank account after merit verification. Apply at online-inspire.gov.in.,https://online-inspire.gov.in,inspire-dst@gov.in,None,80000 per year,REAL
Tata Trust Scholarship,Tata Trusts,Supporting higher education for underprivileged students across India. Open to students admitted to reputed institutes. Selection based on academic performance and financial need. Direct bank transfer. No intermediary fees. Apply through official portal only.,https://www.tatatrusts.org/scholarships,info@tatatrusts.org,No fee,Up to 100000,REAL
Sitaram Jindal Foundation Scholarship,Sitaram Jindal Foundation,Merit-cum-means scholarship for students pursuing graduate and postgraduate courses. Open to students from economically weaker sections. Income certificate required. Selection through transparent merit process. Apply online at official website.,https://www.sitaramjindalfoundation.org,scholarship@sitaramjindal.org,Free to apply,1000 to 2500 per month,REAL
Maulana Azad National Fellowship UGC,University Grants Commission UGC,Integrated five year fellowships for students belonging to minority communities to pursue higher studies leading to MPhil and PhD. Provides monthly fellowship and contingency fund. Applications through official UGC portal only. No middlemen.,https://ugc.ac.in/scholarships,manf@ugc.gov.in,No application fee,25000 to 28000 per month,REAL
KVPY Fellowship Program,Indian Institute of Science IISc Bangalore,Fellowship program to encourage students with aptitude for research to take up research careers in science. Written aptitude test followed by interview. Results published on official portal. Fellowship directly credited to student bank account after selection.,https://kvpy.iisc.ac.in,kvpy@iisc.ac.in,100 rupees SC/ST free,5000 to 7000 per month,REAL
Central Sector Scheme of Scholarships,Ministry of Education Department of Higher Education,Scholarship for college and university students based on Class 12 examination results. Top 20 percentile students in each category eligible. Income limit 8 lakh per annum. Apply on National Scholarship Portal. No agents or middlemen involved.,https://scholarships.gov.in/central,cs-scholarship@nic.in,None,10000 to 20000 per year,REAL
Buddy4Study Foundation Grant,Buddy4Study India Foundation,Scholarships for students from low-income families pursuing undergraduate and postgraduate studies. Multiple scholarship programs available. All applications processed online. Financial need and academic merit considered. Transparent selection process.,https://www.buddy4study.com,support@buddy4study.com,No fee,25000 to 100000,REAL
Post Matric Scholarship for SC Students,Ministry of Social Justice and Empowerment,Post matric scholarship for scheduled caste students to enable them to pursue higher education. Scholarship given for studies at post matriculation or post-secondary stage. Income limit 2.5 lakh per annum. Apply on NSP portal only.,https://scholarships.gov.in,pms-sc@gov.in,None,Varies by course,REAL
Begum Hazrat Mahal National Scholarship,Maulana Azad Education Foundation,Scholarship for meritorious girls belonging to minority communities studying in class 9 to 12. Provides financial assistance for continuation of studies. Merit based selection. Apply through official foundation portal.,https://maef.nic.in,maef@nic.in,No fee,5000 to 6000 per year,REAL
Ishan Uday Special Scholarship North East,UGC University Grants Commission,Special scholarship scheme for students from North Eastern Region for general degree courses. 10000 fresh scholarships awarded every year. Selection through merit and income criteria. Online application on UGC portal.,https://ugc.ac.in/ishan-uday,ishan.uday@ugc.ac.in,Free,5400 to 7800 per month,REAL
Swami Vivekananda Merit-Cum-Means Scholarship,West Bengal Government,Merit cum means scholarship for students pursuing higher studies in West Bengal. Open to students with good academic record and family income below threshold. Direct benefit transfer to bank account. No middlemen required.,https://svmcm.wbhed.gov.in,svmcm@wbhed.gov.in,None,1000 to 8000 per month,REAL
Pragati Scholarship AICTE for Technical Education,All India Council for Technical Education,Scholarship for students pursuing diploma and degree courses in AICTE approved technical institutions. Selection based on family income and academic performance. Renewal based on satisfactory academic progress. Apply online through official portal.,https://aicte-india.org/schemes/students-development/Pragati,helpdesk@aicte.gov.in,No fee,30000 per year,REAL
DR Ambedkar Post Matric Scholarship,Ministry of Social Justice and Empowerment,Scholarship for Other Backward Classes students for pursuing post matriculation education. Covers maintenance allowance and other expenses. Income limit 1 lakh per annum. Apply through state government portals.,https://scholarships.gov.in,drambedkar.scholarship@gov.in,None,700 to 1200 per month,REAL
National Means Cum Merit Scholarship,Ministry of Education,Scholarship to arrest dropout at class 8 level and encourage meritorious students from economically weaker sections to continue education up to Class 12. State level examination based selection. Renewable annually.,https://scholarships.gov.in/nmcms,nmcms@nic.in,Free,12000 per year,REAL
Aryabhatta Scholarship Program,Aryabhatta Research Institute,Scholarship for students pursuing mathematics and physics at undergraduate level. Based on merit demonstrated in entrance examination. Renewable based on academic performance. No application fee. Direct credit to bank account.,https://aries.res.in/scholarship,scholarship@aries.res.in,No fee,4000 per month,REAL
LIC Golden Jubilee Scholarship,LIC of India,Scholarship under LIC Golden Jubilee Foundation for meritorious students from economically weaker sections. Open to students pursuing higher education after Class 12. Income based eligibility. No intermediaries.,https://licindia.in/golden-jubilee,gjf@licindia.in,None,10000 to 20000 per year,REAL
Reliance Foundation Undergraduate Scholarship,Reliance Foundation,Undergraduate scholarships for students from low-income families pursuing graduation from accredited institutions. Holistic development through mentorship and learning opportunities. Merit and need based selection. Apply online.,https://reliancefoundation.org/scholarships,scholarships@reliancefoundation.org,Free,2000 per month,REAL
Azim Premji Foundation Scholarship,Azim Premji Foundation,Supporting education of children from disadvantaged communities. Focus on school teachers and government school students. Transparent and merit based selection. No hidden charges or processing fees.,https://azimpremjifoundation.org,contact@azimpremjifoundation.org,No fee,Varies by program,REAL
HDFC Bank Parivartan Scholarship,HDFC Bank,Merit based scholarship for students from economically weaker sections pursuing graduation. Selection through Buddy4Study platform. Income and academic criteria apply. No application fee.,https://hdfcbank.com/parivartan,parivartan@hdfcbank.com,None,36000 per year,REAL
Infosys Foundation Scholarship,Infosys Foundation,Supporting meritorious students from underprivileged backgrounds pursuing engineering and science courses. Selection based on academic excellence and financial need. No fees involved. Disbursed directly.,https://infosys.com/infosys-foundation,foundation@infosys.com,Free,25000 per year,REAL
